course_id,instructor_id,capacity_required,preferred_slots,unavailable_slots
CS101,I1,60,"1|2|11|12|21|22|31|32|41|42","8|9"
CS102,I1,50,"2|3|12|13|22|23|32|33|42|43","7|8"
CS103,I2,40,"3|4|13|14|23|24|33|34|43|44","1|2"
CS104,I2,30,"4|5|14|15|24|25|34|35|44|45","0|1"
CS105,I3,70,"5|6|15|16|25|26|35|36|45|46","9"
CS106,I3,50,"6|7|16|17|26|27|36|37|46|47","8"
CS107,I4,60,"7|8|17|18|27|28|37|38|47|48","6"
CS108,I4,40,"8|9|18|19|28|29|38|39|48|49","1"
CS109,I5,80,"0|1|10|11|20|21|30|31|40|41","6"
CS110,I5,60,"9|0|19|10|29|20|39|30|49|40","5"
CS111,I6,45,"2|3|12|13|22|23|32|33|42|43","9"
CS112,I6,35,"3|4|13|14|23|24|33|34|43|44","0"
CS113,I7,55,"4|5|14|15|24|25|34|35|44|45","8"
CS114,I7,50,"5|6|15|16|25|26|35|36|45|46","3"
CS115,I8,65,"6|7|16|17|26|27|36|37|46|47","1"